DATAFLOW,LAST UPDATE,freq,geo,unit,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2005,173.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2006,172.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2007,169.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2008,164.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2009,154,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2010,151.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2011,145.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2012,141.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2013,136.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2014,132.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2015,128.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2016,126.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2017,154.2,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2018,157,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2019,159,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2020,136,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2021,113.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2022,105.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2023,113,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2000,175.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2001,172.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2002,170,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2003,169,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2004,165.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2005,163.7,,
