DATAFLOW,LAST UPDATE,freq,waste,hazard,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Greece,2012,6549,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Greece,2014,6404,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Greece,2016,6712,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Greece,2018,4215,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Greece,2020,2651,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Greece,2022,2858,p,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Spain,2004,3743,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Spain,2006,3625,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Spain,2008,3248,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Spain,2010,2953,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Spain,2012,2535,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Spain,2014,2378,,
