DATAFLOW,LAST UPDATE,freq,aquaenv,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Denmark,2014,77.3,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Denmark,2015,84.5,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Denmark,2016,85.2,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Denmark,2017,85.9,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Denmark,2018,86.8,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Denmark,2019,87.6,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Denmark,2020,90.4,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Denmark,2021,91.4,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Denmark,2022,93.9,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Denmark,2023,93.9,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Estonia,2011,48.2,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Estonia,2012,40.7,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Estonia,2013,42.3,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Estonia,2014,37.0,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Estonia,2015,40.7,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Estonia,2016,51.9,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Estonia,2017,51.9,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Estonia,2018,55.6,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Estonia,2019,51.9,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Estonia,2020,48.3,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Estonia,2021,53.3,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Estonia,2022,43.3,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Estonia,2023,46.7,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Greece,2011,94.7,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Greece,2012,93.4,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Greece,2013,93.4,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Greece,2014,97.1,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Greece,2015,97.2,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Greece,2016,97.1,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Greece,2017,96.0,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Greece,2018,97.1,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Greece,2019,95.8,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Greece,2020,97.1,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Greece,2021,95.8,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Greece,2022,96.6,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Greece,2023,95.8,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Spain,2011,84.7,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Spain,2012,86.8,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Spain,2013,87.2,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Spain,2014,85.6,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Spain,2015,87.1,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Spain,2016,88.9,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Spain,2017,90.5,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Spain,2018,92.2,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Spain,2019,93.2,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Spain,2020,93.5,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Spain,2021,92.1,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Spain,2022,92.8,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Spain,2023,92.2,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,European Union - 27 countries (from 2020),2011,81.3,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,European Union - 27 countries (from 2020),2012,83.0,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,European Union - 27 countries (from 2020),2013,85.4,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,European Union - 27 countries (from 2020),2014,85.9,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,European Union - 27 countries (from 2020),2015,87.0,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,European Union - 27 countries (from 2020),2016,88.0,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,European Union - 27 countries (from 2020),2017,87.4,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,European Union - 27 countries (from 2020),2018,88.1,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,European Union - 27 countries (from 2020),2019,88.4,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,European Union - 27 countries (from 2020),2020,88.4,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,European Union - 27 countries (from 2020),2021,88.0,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,European Union - 27 countries (from 2020),2022,88.9,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,European Union - 27 countries (from 2020),2023,88.8,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Finland,2011,70.2,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Finland,2012,70.2,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Finland,2013,65.9,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Finland,2014,63.0,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Finland,2015,62.3,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Finland,2016,58.4,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Finland,2017,68.8,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Finland,2018,65.8,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Finland,2019,63.6,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Finland,2020,71.8,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Finland,2021,66.7,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Finland,2022,73.1,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Finland,2023,65.4,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,France,2011,65.4,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,France,2012,66.3,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,France,2013,75.6,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,France,2014,77.3,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,France,2015,78.5,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,France,2016,79.1,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,France,2017,79.8,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,France,2018,80.0,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,France,2019,82.0,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,France,2020,79.4,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,France,2021,77.8,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,France,2022,77.6,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,France,2023,76.3,,
