DATAFLOW,LAST UPDATE,freq,statinfo,unit,stk_flow,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Spain,2017,23.51,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Spain,2018,24.09,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Spain,2019,25.58,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Spain,2020,22.56,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Spain,2021,24.48,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Spain,2022,31.94,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Spain,2023,36.41,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2009,28.92,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2010,30.1,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2011,30.19,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2012,29.72,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2013,29.92,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2014,30.26,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2015,30.87,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2016,31.31,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2017,32.4,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2018,33.95,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2019,35.5,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2020,34.18,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2021,38.73,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2022,42.16,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2023,44.84,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Finland,2009,11.99,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Finland,2010,12.87,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Finland,2011,13.77,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Finland,2012,13.75,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Finland,2013,13.69,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Finland,2014,11.4,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Finland,2015,11.36,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Finland,2016,11.33,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Finland,2017,3.2,,
