DATAFLOW,LAST UPDATE,freq,areaprot,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Belgium,2012,36.8,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Belgium,2016,36.8,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Belgium,2019,36.8,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Belgium,2021,37.8,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Bulgaria,2012,2.8,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Bulgaria,2016,8.1,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Bulgaria,2019,8.1,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Bulgaria,2021,8,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Cyprus,2012,0.1,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Cyprus,2016,0.1,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Cyprus,2019,8.6,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Cyprus,2021,8.6,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Czechia,2012,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Czechia,2016,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Czechia,2019,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Czechia,2021,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Germany,2012,45.8,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Germany,2016,45.9,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Germany,2019,45.9,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Germany,2021,45.4,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Denmark,2012,18.1,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Denmark,2016,18.2,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Denmark,2019,18.7,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Denmark,2021,18.7,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Estonia,2012,18.5,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Estonia,2016,18.5,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Estonia,2019,18.6,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Estonia,2021,18.7,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Greece,2012,6.5,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Greece,2016,6.5,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Greece,2019,19.7,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Greece,2021,19.8,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Spain,2012,1.1,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Spain,2016,7.9,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Spain,2019,12,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Spain,2021,12.4,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,European Union - 27 countries (from 2020),2012,4.2,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,European Union - 27 countries (from 2020),2016,7.4,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,European Union - 27 countries (from 2020),2019,10.9,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,European Union - 27 countries (from 2020),2021,12.1,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Finland,2012,9.9,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Finland,2016,10,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Finland,2019,11,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Finland,2021,11,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,France,2012,12.7,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,France,2016,15,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,France,2019,37.7,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,France,2021,45.4,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Croatia,2012,1.2,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Croatia,2016,9.1,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Croatia,2019,9.5,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Croatia,2021,9.5,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Hungary,2012,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Hungary,2016,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Hungary,2019,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Hungary,2021,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Ireland,2012,1.5,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Ireland,2016,2.3,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Ireland,2019,2.3,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Ireland,2021,2.3,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Italy,2012,5.2,,
