DATAFLOW,LAST UPDATE,freq,watpol,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Denmark,2001,0.055,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Denmark,2002,0.056,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Denmark,2003,0.053,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Denmark,2004,0.054,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Denmark,2005,0.048,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Denmark,2006,0.053,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Denmark,2007,0.049,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Denmark,2008,0.048,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Denmark,2009,0.045,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Denmark,2010,0.049,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Denmark,2011,0.051,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Denmark,2012,0.051,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Denmark,2013,0.046,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Denmark,2014,0.047,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Denmark,2015,0.051,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Denmark,2016,0.047,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Denmark,2017,0.050,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Denmark,2018,0.049,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Denmark,2019,0.050,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Denmark,2020,0.055,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Denmark,2021,0.053,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Denmark,2022,0.049,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Estonia,2000,0.036,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Estonia,2001,0.039,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Estonia,2002,0.037,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Estonia,2003,0.045,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Estonia,2004,0.033,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Estonia,2005,0.031,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Estonia,2006,0.031,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Estonia,2007,0.027,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Estonia,2008,0.031,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Estonia,2009,0.033,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Estonia,2010,0.027,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Estonia,2011,0.029,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Estonia,2012,0.025,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Estonia,2013,0.024,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Estonia,2014,0.022,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Estonia,2015,0.023,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Estonia,2016,0.027,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Estonia,2017,0.026,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Estonia,2018,0.027,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Estonia,2019,0.023,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Estonia,2020,0.025,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Estonia,2021,0.022,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Estonia,2022,0.023,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Spain,2000,0.117,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Spain,2001,0.093,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Spain,2002,0.107,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Spain,2003,0.096,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Spain,2004,0.105,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Spain,2005,0.126,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Spain,2006,0.132,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Spain,2007,0.111,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Spain,2008,0.077,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Spain,2009,0.047,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Spain,2010,0.045,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Spain,2011,0.052,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Spain,2012,0.229,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Spain,2013,0.128,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Spain,2014,0.147,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Spain,2015,0.161,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Spain,2016,0.184,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Spain,2017,0.198,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Spain,2018,0.193,,
