DATAFLOW,LAST UPDATE,freq,indic_env,unit,geo,hazard,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2013,290.2,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2014,295.2,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2015,292.8,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2016,291.2,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2017,297.6,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2018,299.7,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2019,300.5,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2020,286.9,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2021,296.5,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2022,263.2,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2023,226.6,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2004,243.4,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2005,251.1,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2006,245.7,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2007,253.4,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2008,241.4,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2009,205.5,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2010,234.7,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2011,224.7,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2012,219.1,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2013,218.2,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2014,222.3,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2015,218.2,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2016,214.7,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2017,219.3,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2018,220.1,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2019,223.3,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2020,215.8,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2021,222.6,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2022,194,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2023,166.8,,
