statinfo,unit,stk_flow,country,year,value
Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2009,38.95
Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2010,39.46
Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2011,39.71
Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2012,39.57
Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2013,44.73
Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2014,45.02
Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2015,44.7
Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2016,44.36
Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2017,44.07
Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2018,44.35
Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2019,44.19
Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2020,42.68
Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2021,42.5
Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2022,36.11
Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2023,36.78
Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2009,6.79
Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2010,8.21
Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2011,8.24
Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2012,8.27
Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2013,8.3
Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2014,8.32
Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2015,8.31
Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2016,8.31
Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2017,8.3
Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2018,8.27
Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2019,8.24
Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2020,8.22
Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2021,8.21
Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2022,8.11
Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2023,8.08
Thirty-year average,"Current prices, euro per capita",Losses,Greece,2009,30.28
Thirty-year average,"Current prices, euro per capita",Losses,Greece,2010,30.24
Thirty-year average,"Current prices, euro per capita",Losses,Greece,2011,30.28
Thirty-year average,"Current prices, euro per capita",Losses,Greece,2012,30.45
Thirty-year average,"Current prices, euro per capita",Losses,Greece,2013,30.72
Thirty-year average,"Current prices, euro per capita",Losses,Greece,2014,30.94
Thirty-year average,"Current prices, euro per capita",Losses,Greece,2015,31.18
Thirty-year average,"Current prices, euro per capita",Losses,Greece,2016,31.48
Thirty-year average,"Current prices, euro per capita",Losses,Greece,2017,29.47
Thirty-year average,"Current prices, euro per capita",Losses,Greece,2018,29.76
Thirty-year average,"Current prices, euro per capita",Losses,Greece,2019,30.7
Thirty-year average,"Current prices, euro per capita",Losses,Greece,2020,21.87
Thirty-year average,"Current prices, euro per capita",Losses,Greece,2021,24.18
Thirty-year average,"Current prices, euro per capita",Losses,Greece,2022,24.56
