statinfo,unit,stk_flow,country,year,value
Annual value,"Current prices, euro per capita",Losses,Hungary,2016,1.13
Annual value,"Current prices, euro per capita",Losses,Hungary,2017,2.88
Annual value,"Current prices, euro per capita",Losses,Hungary,2018,0.82
Annual value,"Current prices, euro per capita",Losses,Hungary,2019,1.44
Annual value,"Current prices, euro per capita",Losses,Hungary,2020,1.14
Annual value,"Current prices, euro per capita",Losses,Hungary,2021,3.53
Annual value,"Current prices, euro per capita",Losses,Hungary,2022,252.99
Annual value,"Current prices, euro per capita",Losses,Hungary,2023,3.13
Annual value,"Current prices, euro per capita",Losses,Ireland,1980,6.45
Annual value,"Current prices, euro per capita",Losses,Ireland,1981,0.0
Annual value,"Current prices, euro per capita",Losses,Ireland,1982,0.0
Annual value,"Current prices, euro per capita",Losses,Ireland,1983,0.0
Annual value,"Current prices, euro per capita",Losses,Ireland,1984,0.0
Annual value,"Current prices, euro per capita",Losses,Ireland,1985,0.0
Annual value,"Current prices, euro per capita",Losses,Ireland,1986,6.5
Annual value,"Current prices, euro per capita",Losses,Ireland,1987,0.0
Annual value,"Current prices, euro per capita",Losses,Ireland,1988,48.51
Annual value,"Current prices, euro per capita",Losses,Ireland,1989,0.0
Annual value,"Current prices, euro per capita",Losses,Ireland,1990,56.06
Annual value,"Current prices, euro per capita",Losses,Ireland,1991,1.7
Annual value,"Current prices, euro per capita",Losses,Ireland,1992,0.0
Annual value,"Current prices, euro per capita",Losses,Ireland,1993,19.01
Annual value,"Current prices, euro per capita",Losses,Ireland,1994,83.56
Annual value,"Current prices, euro per capita",Losses,Ireland,1995,0.0
Annual value,"Current prices, euro per capita",Losses,Ireland,1996,0.55
Annual value,"Current prices, euro per capita",Losses,Ireland,1997,8.17
Annual value,"Current prices, euro per capita",Losses,Ireland,1998,0.0
Annual value,"Current prices, euro per capita",Losses,Ireland,1999,44.48
Annual value,"Current prices, euro per capita",Losses,Ireland,2000,47.3
Annual value,"Current prices, euro per capita",Losses,Ireland,2001,0.0
Annual value,"Current prices, euro per capita",Losses,Ireland,2002,25.43
Annual value,"Current prices, euro per capita",Losses,Ireland,2003,0.0
Annual value,"Current prices, euro per capita",Losses,Ireland,2004,15.97
Annual value,"Current prices, euro per capita",Losses,Ireland,2005,0.0
Annual value,"Current prices, euro per capita",Losses,Ireland,2006,0.0
Annual value,"Current prices, euro per capita",Losses,Ireland,2007,0.23
Annual value,"Current prices, euro per capita",Losses,Ireland,2008,0.0
Annual value,"Current prices, euro per capita",Losses,Ireland,2009,64.82
Annual value,"Current prices, euro per capita",Losses,Ireland,2010,0.0
Annual value,"Current prices, euro per capita",Losses,Ireland,2011,66.81
Annual value,"Current prices, euro per capita",Losses,Ireland,2012,0.0
Annual value,"Current prices, euro per capita",Losses,Ireland,2013,24.65
Annual value,"Current prices, euro per capita",Losses,Ireland,2014,181.85
Annual value,"Current prices, euro per capita",Losses,Ireland,2015,52.53
Annual value,"Current prices, euro per capita",Losses,Ireland,2016,0.0
Annual value,"Current prices, euro per capita",Losses,Ireland,2017,61.11
Annual value,"Current prices, euro per capita",Losses,Ireland,2018,0.0
Annual value,"Current prices, euro per capita",Losses,Ireland,2019,10.25
Annual value,"Current prices, euro per capita",Losses,Ireland,2020,41.67
Annual value,"Current prices, euro per capita",Losses,Ireland,2021,0.0
Annual value,"Current prices, euro per capita",Losses,Ireland,2022,0.0
Annual value,"Current prices, euro per capita",Losses,Ireland,2023,48.99
Annual value,"Current prices, euro per capita",Losses,Iceland,1980,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,1981,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,1982,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,1983,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,1984,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,1985,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,1986,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,1987,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,1988,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,1989,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,1990,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,1991,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,1992,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,1993,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,1994,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,1995,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,1996,70.65
Annual value,"Current prices, euro per capita",Losses,Iceland,1997,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,1998,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,1999,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,2000,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,2001,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,2002,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,2003,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,2004,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,2005,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,2006,9.88
Annual value,"Current prices, euro per capita",Losses,Iceland,2007,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,2008,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,2009,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,2010,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,2011,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,2012,9.35
Annual value,"Current prices, euro per capita",Losses,Iceland,2013,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,2014,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,2015,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,2016,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,2017,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,2018,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,2019,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,2020,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,2021,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,2022,0.0
Annual value,"Current prices, euro per capita",Losses,Iceland,2023,0.0
Annual value,"Current prices, euro per capita",Losses,Italy,1980,1.72
Annual value,"Current prices, euro per capita",Losses,Italy,1981,20.8
Annual value,"Current prices, euro per capita",Losses,Italy,1982,94.58
Annual value,"Current prices, euro per capita",Losses,Italy,1983,13.24
Annual value,"Current prices, euro per capita",Losses,Italy,1984,6.75
Annual value,"Current prices, euro per capita",Losses,Italy,1985,0.72
Annual value,"Current prices, euro per capita",Losses,Italy,1986,9.93
Annual value,"Current prices, euro per capita",Losses,Italy,1987,141.69
Annual value,"Current prices, euro per capita",Losses,Italy,1988,0.55
Annual value,"Current prices, euro per capita",Losses,Italy,1989,0.18
Annual value,"Current prices, euro per capita",Losses,Italy,1990,23.31
Annual value,"Current prices, euro per capita",Losses,Italy,1991,9.36
Annual value,"Current prices, euro per capita",Losses,Italy,1992,40.85
Annual value,"Current prices, euro per capita",Losses,Italy,1993,17.12
Annual value,"Current prices, euro per capita",Losses,Italy,1994,90.53
Annual value,"Current prices, euro per capita",Losses,Italy,1995,10.85
Annual value,"Current prices, euro per capita",Losses,Italy,1996,10.99
Annual value,"Current prices, euro per capita",Losses,Italy,1997,20.37
Annual value,"Current prices, euro per capita",Losses,Italy,1998,1.3
Annual value,"Current prices, euro per capita",Losses,Italy,1999,18.94
Annual value,"Current prices, euro per capita",Losses,Italy,2000,263.79
Annual value,"Current prices, euro per capita",Losses,Italy,2001,8.21
Annual value,"Current prices, euro per capita",Losses,Italy,2002,104.94
Annual value,"Current prices, euro per capita",Losses,Italy,2003,128.38
Annual value,"Current prices, euro per capita",Losses,Italy,2004,1.31
Annual value,"Current prices, euro per capita",Losses,Italy,2005,1.13
Annual value,"Current prices, euro per capita",Losses,Italy,2006,0.0
Annual value,"Current prices, euro per capita",Losses,Italy,2007,0.0
Annual value,"Current prices, euro per capita",Losses,Italy,2008,12.19
Annual value,"Current prices, euro per capita",Losses,Italy,2009,6.25
Annual value,"Current prices, euro per capita",Losses,Italy,2010,12.99
Annual value,"Current prices, euro per capita",Losses,Italy,2011,45.46
Annual value,"Current prices, euro per capita",Losses,Italy,2012,21.73
Annual value,"Current prices, euro per capita",Losses,Italy,2013,11.54
Annual value,"Current prices, euro per capita",Losses,Italy,2014,30.55
Annual value,"Current prices, euro per capita",Losses,Italy,2015,51.74
Annual value,"Current prices, euro per capita",Losses,Italy,2016,36.38
Annual value,"Current prices, euro per capita",Losses,Italy,2017,219.66
Annual value,"Current prices, euro per capita",Losses,Italy,2018,94.9
Annual value,"Current prices, euro per capita",Losses,Italy,2019,88.28
Annual value,"Current prices, euro per capita",Losses,Italy,2020,45.76
Annual value,"Current prices, euro per capita",Losses,Italy,2021,11.6
Annual value,"Current prices, euro per capita",Losses,Italy,2022,298.68
Annual value,"Current prices, euro per capita",Losses,Italy,2023,266.83
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,1980,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,1981,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,1982,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,1983,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,1984,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,1985,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,1986,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,1987,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,1988,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,1989,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,1990,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,1991,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,1992,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,1993,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,1994,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,1995,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,1996,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,1997,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,1998,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,1999,620.71
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,2000,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,2001,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,2002,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,2003,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,2004,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,2005,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,2006,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,2007,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,2008,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,2009,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,2010,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,2011,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,2012,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,2013,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,2014,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,2015,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,2016,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,2017,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,2018,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,2019,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,2020,25.71
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,2021,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,2022,0.0
Annual value,"Current prices, euro per capita",Losses,Liechtenstein,2023,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,1980,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,1981,12.53
Annual value,"Current prices, euro per capita",Losses,Lithuania,1982,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,1983,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,1984,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,1985,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,1986,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,1987,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,1988,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,1989,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,1990,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,1991,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,1992,201.89
Annual value,"Current prices, euro per capita",Losses,Lithuania,1993,11.4
Annual value,"Current prices, euro per capita",Losses,Lithuania,1994,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,1995,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,1996,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,1997,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,1998,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,1999,0.28
Annual value,"Current prices, euro per capita",Losses,Lithuania,2000,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,2001,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,2002,2.03
Annual value,"Current prices, euro per capita",Losses,Lithuania,2003,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,2004,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,2005,16.85
Annual value,"Current prices, euro per capita",Losses,Lithuania,2006,107.04
Annual value,"Current prices, euro per capita",Losses,Lithuania,2007,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,2008,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,2009,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,2010,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,2011,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,2012,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,2013,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,2014,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,2015,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,2016,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,2017,200.52
Annual value,"Current prices, euro per capita",Losses,Lithuania,2018,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,2019,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,2020,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,2021,0.0
Annual value,"Current prices, euro per capita",Losses,Lithuania,2022,0.35
Annual value,"Current prices, euro per capita",Losses,Lithuania,2023,162.28
Annual value,"Current prices, euro per capita",Losses,Luxembourg,1980,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,1981,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,1982,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,1983,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,1984,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,1985,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,1986,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,1987,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,1988,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,1989,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,1990,2032.21
Annual value,"Current prices, euro per capita",Losses,Luxembourg,1991,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,1992,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,1993,47.8
Annual value,"Current prices, euro per capita",Losses,Luxembourg,1994,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,1995,41.6
Annual value,"Current prices, euro per capita",Losses,Luxembourg,1996,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,1997,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,1998,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,1999,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,2000,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,2001,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,2002,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,2003,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,2004,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,2005,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,2006,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,2007,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,2008,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,2009,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,2010,65.09
Annual value,"Current prices, euro per capita",Losses,Luxembourg,2011,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,2012,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,2013,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,2014,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,2015,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,2016,97.94
Annual value,"Current prices, euro per capita",Losses,Luxembourg,2017,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,2018,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,2019,253.23
Annual value,"Current prices, euro per capita",Losses,Luxembourg,2020,31.72
Annual value,"Current prices, euro per capita",Losses,Luxembourg,2021,287.47
Annual value,"Current prices, euro per capita",Losses,Luxembourg,2022,0.0
Annual value,"Current prices, euro per capita",Losses,Luxembourg,2023,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,1980,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,1981,32.94
Annual value,"Current prices, euro per capita",Losses,Latvia,1982,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,1983,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,1984,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,1985,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,1986,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,1987,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,1988,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,1989,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,1990,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,1991,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,1992,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,1993,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,1994,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,1995,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,1996,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,1997,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,1998,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,1999,0.42
Annual value,"Current prices, euro per capita",Losses,Latvia,2000,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,2001,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,2002,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,2003,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,2004,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,2005,240.75
Annual value,"Current prices, euro per capita",Losses,Latvia,2006,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,2007,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,2008,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,2009,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,2010,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,2011,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,2012,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,2013,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,2014,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,2015,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,2016,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,2017,252.28
Annual value,"Current prices, euro per capita",Losses,Latvia,2018,62.27
Annual value,"Current prices, euro per capita",Losses,Latvia,2019,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,2020,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,2021,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,2022,0.0
Annual value,"Current prices, euro per capita",Losses,Latvia,2023,9.05
Annual value,"Current prices, euro per capita",Losses,Malta,1980,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,1981,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,1982,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,1983,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,1984,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,1985,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,1986,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,1987,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,1988,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,1989,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,1990,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,1991,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,1992,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,1993,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,1994,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,1995,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,1996,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,1997,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,1998,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,1999,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,2000,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,2001,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,2002,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,2003,52.69
Annual value,"Current prices, euro per capita",Losses,Malta,2004,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,2005,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,2006,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,2007,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,2008,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,2009,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,2010,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,2011,2.4
Annual value,"Current prices, euro per capita",Losses,Malta,2012,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,2013,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,2014,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,2015,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,2016,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,2017,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,2018,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,2019,53.58
Annual value,"Current prices, euro per capita",Losses,Malta,2020,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,2021,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,2022,0.0
Annual value,"Current prices, euro per capita",Losses,Malta,2023,3.62
Annual value,"Current prices, euro per capita",Losses,Netherlands,1980,0.0
Annual value,"Current prices, euro per capita",Losses,Netherlands,1981,0.0
Annual value,"Current prices, euro per capita",Losses,Netherlands,1982,0.0
Annual value,"Current prices, euro per capita",Losses,Netherlands,1983,0.0
Annual value,"Current prices, euro per capita",Losses,Netherlands,1984,0.0
Annual value,"Current prices, euro per capita",Losses,Netherlands,1985,0.0
Annual value,"Current prices, euro per capita",Losses,Netherlands,1986,0.0
Annual value,"Current prices, euro per capita",Losses,Netherlands,1987,0.0
Annual value,"Current prices, euro per capita",Losses,Netherlands,1988,0.0
Annual value,"Current prices, euro per capita",Losses,Netherlands,1989,0.0
Annual value,"Current prices, euro per capita",Losses,Netherlands,1990,209.54
Annual value,"Current prices, euro per capita",Losses,Netherlands,1991,0.0
Annual value,"Current prices, euro per capita",Losses,Netherlands,1992,2.9
Annual value,"Current prices, euro per capita",Losses,Netherlands,1993,14.85
Annual value,"Current prices, euro per capita",Losses,Netherlands,1994,0.2
Annual value,"Current prices, euro per capita",Losses,Netherlands,1995,107.06
Annual value,"Current prices, euro per capita",Losses,Netherlands,1996,0.0
Annual value,"Current prices, euro per capita",Losses,Netherlands,1997,0.0
Annual value,"Current prices, euro per capita",Losses,Netherlands,1998,60.86
Annual value,"Current prices, euro per capita",Losses,Netherlands,1999,0.0
Annual value,"Current prices, euro per capita",Losses,Netherlands,2000,0.0
Annual value,"Current prices, euro per capita",Losses,Netherlands,2001,0.0
Annual value,"Current prices, euro per capita",Losses,Netherlands,2002,28.98
Annual value,"Current prices, euro per capita",Losses,Netherlands,2003,0.06
Annual value,"Current prices, euro per capita",Losses,Netherlands,2004,3.75
Annual value,"Current prices, euro per capita",Losses,Netherlands,2005,7.6
Annual value,"Current prices, euro per capita",Losses,Netherlands,2006,0.0
Annual value,"Current prices, euro per capita",Losses,Netherlands,2007,39.31
Annual value,"Current prices, euro per capita",Losses,Netherlands,2008,3.34
Annual value,"Current prices, euro per capita",Losses,Netherlands,2009,0.0
Annual value,"Current prices, euro per capita",Losses,Netherlands,2010,0.0
Annual value,"Current prices, euro per capita",Losses,Netherlands,2011,0.78
Annual value,"Current prices, euro per capita",Losses,Netherlands,2012,0.0
Annual value,"Current prices, euro per capita",Losses,Netherlands,2013,16.25
Annual value,"Current prices, euro per capita",Losses,Netherlands,2014,0.0
Annual value,"Current prices, euro per capita",Losses,Netherlands,2015,1.71
Annual value,"Current prices, euro per capita",Losses,Netherlands,2016,61.13
Annual value,"Current prices, euro per capita",Losses,Netherlands,2017,0.0
Annual value,"Current prices, euro per capita",Losses,Netherlands,2018,0.0
Annual value,"Current prices, euro per capita",Losses,Netherlands,2019,2.71
Annual value,"Current prices, euro per capita",Losses,Netherlands,2020,31.08
Annual value,"Current prices, euro per capita",Losses,Netherlands,2021,43.18
Annual value,"Current prices, euro per capita",Losses,Netherlands,2022,44.35
Annual value,"Current prices, euro per capita",Losses,Netherlands,2023,6.32
Annual value,"Current prices, euro per capita",Losses,Norway,1980,2.94
Annual value,"Current prices, euro per capita",Losses,Norway,1981,6.34
Annual value,"Current prices, euro per capita",Losses,Norway,1982,2.92
Annual value,"Current prices, euro per capita",Losses,Norway,1983,2.91
Annual value,"Current prices, euro per capita",Losses,Norway,1984,0.0
Annual value,"Current prices, euro per capita",Losses,Norway,1985,1.93
Annual value,"Current prices, euro per capita",Losses,Norway,1986,0.0
Annual value,"Current prices, euro per capita",Losses,Norway,1987,104.61
Annual value,"Current prices, euro per capita",Losses,Norway,1988,14.02
Annual value,"Current prices, euro per capita",Losses,Norway,1989,5.91
Annual value,"Current prices, euro per capita",Losses,Norway,1990,58.47
Annual value,"Current prices, euro per capita",Losses,Norway,1991,0.0
Annual value,"Current prices, euro per capita",Losses,Norway,1992,170.77
