watpol,unit,country,year,value
Nitrate in groundwater,Milligrams per litre,Serbia,2019,7.55
Nitrate in groundwater,Milligrams per litre,Serbia,2020,11.6
Nitrate in groundwater,Milligrams per litre,Serbia,2021,10.95
Nitrate in groundwater,Milligrams per litre,Serbia,2022,7.42
Nitrate in groundwater,Milligrams per litre,Slovenia,2000,15.0
Nitrate in groundwater,Milligrams per litre,Slovenia,2001,17.21
Nitrate in groundwater,Milligrams per litre,Slovenia,2002,18.8
Nitrate in groundwater,Milligrams per litre,Slovenia,2003,16.58
Nitrate in groundwater,Milligrams per litre,Slovenia,2004,17.68
Nitrate in groundwater,Milligrams per litre,Slovenia,2005,17.71
Nitrate in groundwater,Milligrams per litre,Slovenia,2006,18.92
Nitrate in groundwater,Milligrams per litre,Slovenia,2007,14.5
Nitrate in groundwater,Milligrams per litre,Slovenia,2008,14.9
Nitrate in groundwater,Milligrams per litre,Slovenia,2009,14.8
Nitrate in groundwater,Milligrams per litre,Slovenia,2010,14.09
Nitrate in groundwater,Milligrams per litre,Slovenia,2011,13.84
Nitrate in groundwater,Milligrams per litre,Slovenia,2012,13.57
Nitrate in groundwater,Milligrams per litre,Slovenia,2013,14.86
Nitrate in groundwater,Milligrams per litre,Slovenia,2014,13.85
Nitrate in groundwater,Milligrams per litre,Slovenia,2015,12.84
Nitrate in groundwater,Milligrams per litre,Slovenia,2016,14.18
Nitrate in groundwater,Milligrams per litre,Slovenia,2017,13.31
Nitrate in groundwater,Milligrams per litre,Slovenia,2018,14.38
Nitrate in groundwater,Milligrams per litre,Slovenia,2019,12.58
Nitrate in groundwater,Milligrams per litre,Slovenia,2020,12.45
Nitrate in groundwater,Milligrams per litre,Slovenia,2021,14.05
Nitrate in groundwater,Milligrams per litre,Slovenia,2022,12.99
Nitrate in groundwater,Milligrams per litre,Slovakia,2000,19.34
Nitrate in groundwater,Milligrams per litre,Slovakia,2001,20.21
Nitrate in groundwater,Milligrams per litre,Slovakia,2002,15.17
Nitrate in groundwater,Milligrams per litre,Slovakia,2003,14.42
Nitrate in groundwater,Milligrams per litre,Slovakia,2004,21.84
Nitrate in groundwater,Milligrams per litre,Slovakia,2005,19.68
Nitrate in groundwater,Milligrams per litre,Slovakia,2006,21.2
Nitrate in groundwater,Milligrams per litre,Slovakia,2007,18.39
Nitrate in groundwater,Milligrams per litre,Slovakia,2008,18.98
Nitrate in groundwater,Milligrams per litre,Slovakia,2009,19.03
Nitrate in groundwater,Milligrams per litre,Slovakia,2010,24.69
Nitrate in groundwater,Milligrams per litre,Slovakia,2011,14.24
Nitrate in groundwater,Milligrams per litre,Slovakia,2012,15.92
Nitrate in groundwater,Milligrams per litre,Slovakia,2013,20.1
Nitrate in groundwater,Milligrams per litre,Slovakia,2014,17.95
Nitrate in groundwater,Milligrams per litre,Slovakia,2015,19.85
Nitrate in groundwater,Milligrams per litre,Slovakia,2016,16.17
Nitrate in groundwater,Milligrams per litre,Slovakia,2017,15.87
Nitrate in groundwater,Milligrams per litre,Slovakia,2018,18.01
Nitrate in groundwater,Milligrams per litre,Slovakia,2019,16.25
Nitrate in groundwater,Milligrams per litre,Slovakia,2020,18.87
Nitrate in groundwater,Milligrams per litre,Slovakia,2021,18.08
Nitrate in groundwater,Milligrams per litre,Slovakia,2022,18.74
