aquaenv,country,year,value
Coastal water excellent - number,Poland,2015,46.0
Coastal water excellent - number,Poland,2016,50.0
Coastal water excellent - number,Poland,2017,47.0
Coastal water excellent - number,Poland,2018,45.0
Coastal water excellent - number,Poland,2019,48.0
Coastal water excellent - number,Poland,2020,51.0
Coastal water excellent - number,Poland,2021,77.0
Coastal water excellent - number,Poland,2022,94.0
Coastal water excellent - number,Poland,2023,103.0
Coastal water excellent - number,Portugal,2011,381.0
Coastal water excellent - number,Portugal,2012,401.0
Coastal water excellent - number,Portugal,2013,411.0
Coastal water excellent - number,Portugal,2014,395.0
Coastal water excellent - number,Portugal,2015,412.0
Coastal water excellent - number,Portugal,2016,413.0
Coastal water excellent - number,Portugal,2017,435.0
Coastal water excellent - number,Portugal,2018,453.0
Coastal water excellent - number,Portugal,2019,460.0
Coastal water excellent - number,Portugal,2020,460.0
Coastal water excellent - number,Portugal,2021,464.0
Coastal water excellent - number,Portugal,2022,462.0
Coastal water excellent - number,Portugal,2023,468.0
Coastal water excellent - number,Romania,2011,43.0
Coastal water excellent - number,Romania,2012,4.0
Coastal water excellent - number,Romania,2013,17.0
Coastal water excellent - number,Romania,2014,11.0
Coastal water excellent - number,Romania,2015,15.0
Coastal water excellent - number,Romania,2016,34.0
Coastal water excellent - number,Romania,2017,25.0
Coastal water excellent - number,Romania,2018,28.0
Coastal water excellent - number,Romania,2019,38.0
Coastal water excellent - number,Romania,2020,35.0
Coastal water excellent - number,Romania,2021,42.0
Coastal water excellent - number,Romania,2022,45.0
Coastal water excellent - number,Romania,2023,34.0
Coastal water excellent - number,Serbia,2011,
Coastal water excellent - number,Serbia,2012,
Coastal water excellent - number,Serbia,2013,
Coastal water excellent - number,Serbia,2014,
Coastal water excellent - number,Serbia,2015,
Coastal water excellent - number,Serbia,2016,
Coastal water excellent - number,Serbia,2017,
Coastal water excellent - number,Serbia,2018,
Coastal water excellent - number,Serbia,2019,
Coastal water excellent - number,Serbia,2020,
Coastal water excellent - number,Serbia,2021,
Coastal water excellent - number,Serbia,2022,
Coastal water excellent - number,Serbia,2023,
Coastal water excellent - number,Sweden,2011,137.0
Coastal water excellent - number,Sweden,2012,153.0
Coastal water excellent - number,Sweden,2013,132.0
Coastal water excellent - number,Sweden,2014,124.0
Coastal water excellent - number,Sweden,2015,140.0
Coastal water excellent - number,Sweden,2016,169.0
Coastal water excellent - number,Sweden,2017,102.0
Coastal water excellent - number,Sweden,2018,151.0
Coastal water excellent - number,Sweden,2019,177.0
Coastal water excellent - number,Sweden,2020,192.0
Coastal water excellent - number,Sweden,2021,188.0
Coastal water excellent - number,Sweden,2022,183.0
Coastal water excellent - number,Sweden,2023,180.0
Coastal water excellent - number,Slovenia,2011,20.0
Coastal water excellent - number,Slovenia,2012,21.0
Coastal water excellent - number,Slovenia,2013,21.0
Coastal water excellent - number,Slovenia,2014,21.0
Coastal water excellent - number,Slovenia,2015,21.0
Coastal water excellent - number,Slovenia,2016,21.0
Coastal water excellent - number,Slovenia,2017,21.0
Coastal water excellent - number,Slovenia,2018,21.0
Coastal water excellent - number,Slovenia,2019,20.0
Coastal water excellent - number,Slovenia,2020,20.0
Coastal water excellent - number,Slovenia,2021,20.0
Coastal water excellent - number,Slovenia,2022,20.0
Coastal water excellent - number,Slovenia,2023,20.0
Coastal water excellent - number,Slovakia,2011,
Coastal water excellent - number,Slovakia,2012,
Coastal water excellent - number,Slovakia,2013,
Coastal water excellent - number,Slovakia,2014,
Coastal water excellent - number,Slovakia,2015,
Coastal water excellent - number,Slovakia,2016,
Coastal water excellent - number,Slovakia,2017,
Coastal water excellent - number,Slovakia,2018,
Coastal water excellent - number,Slovakia,2019,
Coastal water excellent - number,Slovakia,2020,
Coastal water excellent - number,Slovakia,2021,
Coastal water excellent - number,Slovakia,2022,
Coastal water excellent - number,Slovakia,2023,
Coastal water excellent - number,Kosovo*,2011,
Coastal water excellent - number,Kosovo*,2012,
Coastal water excellent - number,Kosovo*,2013,
Coastal water excellent - number,Kosovo*,2014,
Coastal water excellent - number,Kosovo*,2015,
