unit,country,year,value
Milligrams per litre,Latvia,2013,1.22
Milligrams per litre,Latvia,2014,1.16
Milligrams per litre,Latvia,2015,1.18
Milligrams per litre,Latvia,2016,1.27
Milligrams per litre,Latvia,2017,1.38
Milligrams per litre,Latvia,2018,1.48
Milligrams per litre,Latvia,2019,1.39
Milligrams per litre,Latvia,2020,2.29
Milligrams per litre,Latvia,2021,2.19
Milligrams per litre,Latvia,2022,1.36
Milligrams per litre,North Macedonia,2000,3.65
Milligrams per litre,North Macedonia,2001,7.42
Milligrams per litre,North Macedonia,2002,6.36
Milligrams per litre,North Macedonia,2003,5.43
Milligrams per litre,North Macedonia,2004,5.35
Milligrams per litre,North Macedonia,2005,5.53
Milligrams per litre,North Macedonia,2006,5.71
Milligrams per litre,North Macedonia,2007,5.89
Milligrams per litre,North Macedonia,2008,7.46
Milligrams per litre,North Macedonia,2009,5.14
Milligrams per litre,North Macedonia,2010,2.82
Milligrams per litre,North Macedonia,2011,3.49
Milligrams per litre,North Macedonia,2012,3.77
Milligrams per litre,North Macedonia,2013,3.54
Milligrams per litre,North Macedonia,2014,3.4
Milligrams per litre,North Macedonia,2015,2.89
Milligrams per litre,North Macedonia,2016,2.85
Milligrams per litre,North Macedonia,2017,3.36
Milligrams per litre,North Macedonia,2018,3.42
Milligrams per litre,North Macedonia,2019,3.27
Milligrams per litre,North Macedonia,2020,3.26
Milligrams per litre,North Macedonia,2021,3.7
Milligrams per litre,North Macedonia,2022,3.33
Milligrams per litre,Poland,2000,4.45
Milligrams per litre,Poland,2001,4.35
Milligrams per litre,Poland,2002,4.6
Milligrams per litre,Poland,2003,4.48
Milligrams per litre,Poland,2004,4.1
Milligrams per litre,Poland,2005,4.3
Milligrams per litre,Poland,2006,4.02
Milligrams per litre,Poland,2007,3.26
Milligrams per litre,Poland,2008,3.21
Milligrams per litre,Poland,2009,3.35
Milligrams per litre,Poland,2010,3.61
Milligrams per litre,Poland,2011,3.87
Milligrams per litre,Poland,2012,3.61
Milligrams per litre,Poland,2013,3.36
Milligrams per litre,Poland,2014,2.94
Milligrams per litre,Poland,2015,2.76
Milligrams per litre,Poland,2016,2.78
Milligrams per litre,Poland,2017,2.83
Milligrams per litre,Poland,2018,2.81
Milligrams per litre,Poland,2019,2.76
Milligrams per litre,Poland,2020,2.78
Milligrams per litre,Poland,2021,2.8
Milligrams per litre,Poland,2022,2.85
Milligrams per litre,Romania,2000,5.38
Milligrams per litre,Romania,2001,5.38
Milligrams per litre,Romania,2002,4.84
Milligrams per litre,Romania,2003,5.12
Milligrams per litre,Romania,2004,5.02
Milligrams per litre,Romania,2005,5.16
Milligrams per litre,Romania,2006,4.86
Milligrams per litre,Romania,2007,5.32
Milligrams per litre,Romania,2008,5.21
Milligrams per litre,Romania,2009,5.12
Milligrams per litre,Romania,2010,4.82
Milligrams per litre,Romania,2011,4.41
Milligrams per litre,Romania,2012,4.67
Milligrams per litre,Romania,2013,4.25
Milligrams per litre,Romania,2014,4.13
Milligrams per litre,Romania,2015,4.02
Milligrams per litre,Romania,2016,4.05
Milligrams per litre,Romania,2017,3.65
Milligrams per litre,Romania,2018,3.55
Milligrams per litre,Romania,2019,3.46
Milligrams per litre,Romania,2020,3.39
Milligrams per litre,Romania,2021,3.52
Milligrams per litre,Romania,2022,3.09
