watpol,unit,country,year,value
Phosphate in rivers,Milligrams per litre,Estonia,2006,0.031
Phosphate in rivers,Milligrams per litre,Estonia,2007,0.027
Phosphate in rivers,Milligrams per litre,Estonia,2008,0.031
Phosphate in rivers,Milligrams per litre,Estonia,2009,0.033
Phosphate in rivers,Milligrams per litre,Estonia,2010,0.027
Phosphate in rivers,Milligrams per litre,Estonia,2011,0.029
Phosphate in rivers,Milligrams per litre,Estonia,2012,0.025
Phosphate in rivers,Milligrams per litre,Estonia,2013,0.024
Phosphate in rivers,Milligrams per litre,Estonia,2014,0.022
Phosphate in rivers,Milligrams per litre,Estonia,2015,0.023
Phosphate in rivers,Milligrams per litre,Estonia,2016,0.027
Phosphate in rivers,Milligrams per litre,Estonia,2017,0.026
Phosphate in rivers,Milligrams per litre,Estonia,2018,0.027
Phosphate in rivers,Milligrams per litre,Estonia,2019,0.023
Phosphate in rivers,Milligrams per litre,Estonia,2020,0.025
Phosphate in rivers,Milligrams per litre,Estonia,2021,0.022
Phosphate in rivers,Milligrams per litre,Estonia,2022,0.023
Phosphate in rivers,Milligrams per litre,Spain,2000,0.117
Phosphate in rivers,Milligrams per litre,Spain,2001,0.093
Phosphate in rivers,Milligrams per litre,Spain,2002,0.107
Phosphate in rivers,Milligrams per litre,Spain,2003,0.096
Phosphate in rivers,Milligrams per litre,Spain,2004,0.105
Phosphate in rivers,Milligrams per litre,Spain,2005,0.126
Phosphate in rivers,Milligrams per litre,Spain,2006,0.132
Phosphate in rivers,Milligrams per litre,Spain,2007,0.111
Phosphate in rivers,Milligrams per litre,Spain,2008,0.077
Phosphate in rivers,Milligrams per litre,Spain,2009,0.047
Phosphate in rivers,Milligrams per litre,Spain,2010,0.045
Phosphate in rivers,Milligrams per litre,Spain,2011,0.052
Phosphate in rivers,Milligrams per litre,Spain,2012,0.229
Phosphate in rivers,Milligrams per litre,Spain,2013,0.128
Phosphate in rivers,Milligrams per litre,Spain,2014,0.147
Phosphate in rivers,Milligrams per litre,Spain,2015,0.161
Phosphate in rivers,Milligrams per litre,Spain,2016,0.184
Phosphate in rivers,Milligrams per litre,Spain,2017,0.198
Phosphate in rivers,Milligrams per litre,Spain,2018,0.193
Phosphate in rivers,Milligrams per litre,Spain,2019,0.188
Phosphate in rivers,Milligrams per litre,Spain,2020,0.189
Phosphate in rivers,Milligrams per litre,Spain,2021,0.202
Phosphate in rivers,Milligrams per litre,Spain,2022,0.205
Phosphate in rivers,Milligrams per litre,European Union (aggregate changing according to the context),2000,0.091
Phosphate in rivers,Milligrams per litre,European Union (aggregate changing according to the context),2001,0.094
Phosphate in rivers,Milligrams per litre,European Union (aggregate changing according to the context),2002,0.092
Phosphate in rivers,Milligrams per litre,European Union (aggregate changing according to the context),2003,0.095
Phosphate in rivers,Milligrams per litre,European Union (aggregate changing according to the context),2004,0.084
Phosphate in rivers,Milligrams per litre,European Union (aggregate changing according to the context),2005,0.076
Phosphate in rivers,Milligrams per litre,European Union (aggregate changing according to the context),2006,0.089
Phosphate in rivers,Milligrams per litre,European Union (aggregate changing according to the context),2007,0.094
Phosphate in rivers,Milligrams per litre,European Union (aggregate changing according to the context),2008,0.081
Phosphate in rivers,Milligrams per litre,European Union (aggregate changing according to the context),2009,0.079
Phosphate in rivers,Milligrams per litre,European Union (aggregate changing according to the context),2010,0.074
Phosphate in rivers,Milligrams per litre,European Union (aggregate changing according to the context),2011,0.058
Phosphate in rivers,Milligrams per litre,European Union (aggregate changing according to the context),2012,0.071
Phosphate in rivers,Milligrams per litre,European Union (aggregate changing according to the context),2013,0.061
Phosphate in rivers,Milligrams per litre,European Union (aggregate changing according to the context),2014,0.062
Phosphate in rivers,Milligrams per litre,European Union (aggregate changing according to the context),2015,0.064
Phosphate in rivers,Milligrams per litre,European Union (aggregate changing according to the context),2016,0.062
Phosphate in rivers,Milligrams per litre,European Union (aggregate changing according to the context),2017,0.067
Phosphate in rivers,Milligrams per litre,European Union (aggregate changing according to the context),2018,0.066
Phosphate in rivers,Milligrams per litre,European Union (aggregate changing according to the context),2019,0.071
Phosphate in rivers,Milligrams per litre,European Union (aggregate changing according to the context),2020,0.082
Phosphate in rivers,Milligrams per litre,European Union (aggregate changing according to the context),2021,0.072
Phosphate in rivers,Milligrams per litre,European Union (aggregate changing according to the context),2022,0.074
Phosphate in rivers,Milligrams per litre,Finland,2000,0.019
Phosphate in rivers,Milligrams per litre,Finland,2001,0.02
Phosphate in rivers,Milligrams per litre,Finland,2002,0.014
Phosphate in rivers,Milligrams per litre,Finland,2003,0.017
Phosphate in rivers,Milligrams per litre,Finland,2004,0.017
Phosphate in rivers,Milligrams per litre,Finland,2005,0.018
Phosphate in rivers,Milligrams per litre,Finland,2006,0.016
Phosphate in rivers,Milligrams per litre,Finland,2007,0.015
Phosphate in rivers,Milligrams per litre,Finland,2008,0.017
Phosphate in rivers,Milligrams per litre,Finland,2009,0.018
Phosphate in rivers,Milligrams per litre,Finland,2010,0.015
Phosphate in rivers,Milligrams per litre,Finland,2011,0.016
Phosphate in rivers,Milligrams per litre,Finland,2012,0.017
Phosphate in rivers,Milligrams per litre,Finland,2013,0.012
Phosphate in rivers,Milligrams per litre,Finland,2014,0.011
Phosphate in rivers,Milligrams per litre,Finland,2015,0.016
Phosphate in rivers,Milligrams per litre,Finland,2016,0.016
Phosphate in rivers,Milligrams per litre,Finland,2017,0.016
Phosphate in rivers,Milligrams per litre,Finland,2018,0.011
Phosphate in rivers,Milligrams per litre,Finland,2019,0.013
Phosphate in rivers,Milligrams per litre,Finland,2020,0.016
Phosphate in rivers,Milligrams per litre,Finland,2021,0.015
Phosphate in rivers,Milligrams per litre,Finland,2022,0.015
Phosphate in rivers,Milligrams per litre,Croatia,2000,0.064
Phosphate in rivers,Milligrams per litre,Croatia,2001,0.064
Phosphate in rivers,Milligrams per litre,Croatia,2002,0.064
Phosphate in rivers,Milligrams per litre,Croatia,2003,0.064
Phosphate in rivers,Milligrams per litre,Croatia,2004,0.05
Phosphate in rivers,Milligrams per litre,Croatia,2005,0.048
Phosphate in rivers,Milligrams per litre,Croatia,2006,0.045
Phosphate in rivers,Milligrams per litre,Croatia,2007,0.038
Phosphate in rivers,Milligrams per litre,Croatia,2008,0.033
Phosphate in rivers,Milligrams per litre,Croatia,2009,0.03
Phosphate in rivers,Milligrams per litre,Croatia,2010,0.032
Phosphate in rivers,Milligrams per litre,Croatia,2011,0.031
Phosphate in rivers,Milligrams per litre,Croatia,2012,0.038
Phosphate in rivers,Milligrams per litre,Croatia,2013,0.034
Phosphate in rivers,Milligrams per litre,Croatia,2014,0.031
Phosphate in rivers,Milligrams per litre,Croatia,2015,0.027
Phosphate in rivers,Milligrams per litre,Croatia,2016,0.031
Phosphate in rivers,Milligrams per litre,Croatia,2017,0.028
Phosphate in rivers,Milligrams per litre,Croatia,2018,0.024
Phosphate in rivers,Milligrams per litre,Croatia,2019,0.029
Phosphate in rivers,Milligrams per litre,Croatia,2020,0.026
