indicator,country,unit,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,sector,1980_z,1981_z,1982_z,1983_z,1984_z,1985_z,1986_z,1987_z,1988_z,1989_z,1990_z,1991_z,1992_z,1993_z,1994_z,1995_z,1996_z,1997_z,1998_z,1999_z,2000_z,2001_z,2002_z,2003_z,2004_z,2005_z,2006_z,2007_z,2008_z,2009_z,2010_z,2011_z,2012_z,2013_z,2014_z,2015_z,2016_z,2017_z,2018_z,2019_z,2020_z,2021_z,2022_z,2023_z
Climate_related_economic_losses,France,"Current prices, million euro",162.0,53.0,515.0,3372,0.0,401.0,87.0,2732.0,807.0,2616.0,5489.0,1443.0,1415.0,2850.0,12194.0,1698.0,883,606.0,889.0,18504.0,703.0,770.0,2219.0,6712.0,51.0,3521.0,251.0,562.0,566.0,3154.0,5295,1796.0,1683.0,1889.0,2893.0,816.0,2081.0,6329.0,3411.0,5717.0,4770.0,6108.0,8757.0,3130.0,Other sectors,-0.91,-0.97,-0.81,-0.55,-1.0,-0.49,-0.94,-0.32,0.34,1.0,0.55,1.0,0.22,1.0,1.0,0.48,-0.07,-0.82,0.86,1.0,-0.91,0.12,-0.84,0.82,-0.94,1.0,-0.56,-0.82,-0.6,1.0,0.78,0.32,1.0,-0.75,0.82,-0.56,0.05,-0.04,-0.33,0.39,1.0,-0.68,-0.01,-0.6
Climate_related_economic_losses,Germany,"Current prices, million euro",61.0,450.0,14.0,247,3961.0,1166.0,68.0,86.0,169.0,121.0,7079.0,119.0,330.0,1687.0,2160.0,626.0,336,718.0,784.0,3909.0,410.0,1021.0,27247.0,2564.0,1502.0,1810.0,1132.0,6349.0,2845.0,1344.0,5959,880.0,159.0,15361.0,3182.0,2934.0,3947.0,5717.0,10145.0,8247.0,1607.0,38744.0,11014.0,2163.0,Other sectors,-0.97,-0.77,-0.99,-0.97,1.0,0.5,-0.96,-0.98,-0.72,-0.91,1.0,-0.84,-0.72,0.18,-0.65,-0.45,-0.65,-0.79,0.64,-0.58,-0.95,0.48,1.0,-0.3,0.88,0.03,1.0,1.0,1.0,-0.15,1.0,-0.36,-0.81,1.0,1.0,0.59,1.0,-0.13,1.0,1.0,-0.33,1.0,0.25,-0.73
Climate_related_economic_losses,Greece,"Current prices, million euro",0.0,0.0,0.0,0,0.0,0.0,0.0,800.0,0.0,0.0,3989.0,0.0,0.0,9.0,595.0,0.0,2,197.0,916.0,1.0,6.0,79.0,38.0,1462.0,359.0,0.0,55.0,1490.0,0.0,90.0,1,0.0,0.0,16.0,5.0,12.0,56.0,131.0,74.0,293.0,1131.0,650.0,21.0,3872.0,Other sectors,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8,-1.0,-1.0,0.13,-1.0,-1.0,-0.99,-0.9,-1.0,-1.0,-0.94,0.92,-1.0,-1.0,-0.89,-1.0,-0.6,-0.55,-1.0,-0.9,-0.53,-1.0,-0.94,-1.0,-1.0,-1.0,-1.0,-1.0,-0.99,-0.97,-0.98,-0.99,-0.93,-0.53,-0.97,-1.0,-0.51
Climate_related_economic_losses,Hungary,"Current prices, million euro",0.0,0.0,0.0,0,0.0,0.0,3036.0,0.0,0.0,0.0,0.0,0.0,1635.0,0.0,0.0,0.0,0,23.0,55.0,1172.0,136.0,11.0,53.0,765.0,0.0,124.0,62.0,0.0,0.0,0.0,649,31.0,34.0,35.0,28.0,32.0,11.0,28.0,8.0,14.0,11.0,34.0,2430.0,30.0,Other sectors,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.41,-1.0,-1.0,-1.0,-1.0,-0.99,-0.88,-0.87,-0.98,-0.98,-1.0,-0.79,-1.0,-0.93,-0.89,-1.0,-1.0,-1.0,-0.78,-0.98,-0.96,-1.0,-0.98,-0.98,-0.99,-1.0,-1.0,-1.0,-1.0,-1.0,-0.72,-1.0
Climate_related_economic_losses,Ireland,"Current prices, million euro",22.0,0.0,0.0,0,0.0,0.0,23.0,0.0,171.0,0.0,197.0,6.0,0.0,68.0,300.0,0.0,2,30.0,0.0,167.0,180.0,0.0,100.0,0.0,65.0,0.0,0.0,1.0,0.0,294.0,0,306.0,0.0,114.0,847.0,247.0,0.0,295.0,0.0,51.0,210.0,0.0,0.0,260.0,Other sectors,-0.99,-1.0,-1.0,-1.0,-1.0,-1.0,-0.98,-1.0,-0.72,-1.0,-0.94,-0.99,-1.0,-0.95,-0.95,-1.0,-1.0,-0.99,-1.0,-0.98,-0.98,-1.0,-0.99,-1.0,-0.92,-1.0,-1.0,-1.0,-1.0,-0.81,-1.0,-0.78,-1.0,-0.99,-0.47,-0.87,-1.0,-0.96,-1.0,-0.99,-0.91,-1.0,-1.0,-0.97
Climate_related_economic_losses,Italy,"Current prices, million euro",97.0,1175.0,5348.0,749,382.0,41.0,562.0,8020.0,31.0,10.0,1322.0,531.0,2320.0,973.0,5146.0,617.0,625,1159.0,74.0,1078.0,15021.0,468.0,5991.0,7369.0,76.0,66.0,0.0,0.0,722.0,372.0,777,2729.0,1308.0,696.0,1843.0,3116.0,2187.0,13180.0,5708.0,5273.0,2720.0,686.0,17626.0,15741.0,Other sectors,-0.95,-0.39,1.0,-0.9,-0.81,-0.95,-0.63,1.0,-0.95,-0.99,-0.63,-0.26,1.0,-0.32,-0.16,-0.46,-0.34,-0.65,-0.85,-0.88,1.0,-0.32,-0.56,1.0,-0.9,-0.96,-1.0,-1.0,-0.49,-0.76,-0.74,1.0,0.55,-0.91,0.16,0.69,0.11,1.0,0.13,0.28,0.14,-0.96,1.0,1.0
Climate_related_economic_losses,Latvia,"Current prices, million euro",0.0,83.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,120.0,0.0,0.0,0.0,0.0,17.0,Other sectors,-1.0,-0.96,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.69,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.93,-0.98,-1.0,-1.0,-1.0,-1.0,-1.0
Climate_related_economic_losses,Lithuania,"Current prices, million euro",0.0,43.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.0,42.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,56.0,350.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,1.0,466.0,Other sectors,-1.0,-0.98,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.36,-0.97,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.97,-0.38,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.91,-1.0,-1.0,-1.0,-1.0,-1.0,-0.94
Climate_related_economic_losses,Luxembourg,"Current prices, million euro",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,776.0,0.0,0.0,19.0,0.0,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,157.0,20.0,184.0,0.0,0.0,Other sectors,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.78,-1.0,-1.0,-0.99,-1.0,-0.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.99,-1.0,-1.0,-1.0,-1.0,-1.0,-0.97,-1.0,-1.0,-0.96,-0.99,-0.99,-1.0,-1.0
Climate_related_economic_losses,Malta,"Current prices, million euro",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,2.0,Other sectors,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.99,-1.0,-1.0,-1.0,-1.0
Climate_related_economic_losses,Netherlands,"Current prices, million euro",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3133.0,0.0,44.0,227.0,3.0,1655.0,0,0.0,956.0,0.0,0.0,0.0,468.0,1.0,61.0,124.0,0.0,644.0,55.0,0.0,0,13.0,0.0,273.0,0.0,29.0,1041.0,0.0,0.0,47.0,542.0,757.0,785.0,113.0,Other sectors,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.11,-1.0,-0.96,-0.84,-1.0,0.44,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.97,-1.0,-0.92,-0.93,-1.0,-0.8,-0.96,-1.0,-1.0,-0.99,-1.0,-0.96,-1.0,-0.98,-0.47,-1.0,-1.0,-0.99,-0.77,-0.96,-0.91,-0.99
Climate_related_economic_losses,Poland,"Current prices, million euro",2910.0,0.0,824.0,308,0.0,1558.0,0.0,762.0,0.0,0.0,298.0,22.0,0.0,0.0,2.0,4.0,0,6696.0,1.0,20.0,0.0,1379.0,0.0,574.0,308.0,0.0,1.0,109.0,100.0,109.0,3588,0.0,6.0,0.0,0.0,0.0,0.0,80.0,890.0,0.0,51.0,30.0,1.0,1.0,Other sectors,0.57,-1.0,-0.69,-0.96,-1.0,1.0,-1.0,-0.81,-1.0,-1.0,-0.92,-0.97,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.84,-0.62,-1.0,-1.0,-0.97,-0.93,-0.93,0.2,-1.0,-0.99,-1.0,-1.0,-1.0,-1.0,-0.99,-0.82,-1.0,-0.98,-1.0,-1.0,-1.0
Climate_related_economic_losses,Portugal,"Current prices, million euro",0.0,0.0,2.0,832,0.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,57.0,0.0,0.0,0.0,0.0,0.0,4752.0,1600.0,1921.0,0.0,0.0,0.0,42.0,1558,0.0,0.0,723.0,0.0,7.0,276.0,2266.0,180.0,607.0,101.0,3.0,1190.0,42.0,Other sectors,-1.0,-1.0,-1.0,-0.89,-1.0,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.87,-0.98,-1.0,-1.0,-1.0,-1.0,-1.0,0.29,1.0,0.09,-1.0,-1.0,-1.0,-0.97,-0.48,-1.0,-1.0,-0.91,-1.0,-1.0,-0.86,-0.66,-0.96,-0.85,-0.96,-1.0,-0.86,-0.99
Climate_related_economic_losses,Romania,"Current prices, million euro",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0,0.0,0.0,13.0,46.0,0,456.0,502.0,983.0,3228.0,824.0,1.0,1206.0,97.0,3405.0,139.0,0.0,629.0,0.0,1505,0.0,31.0,13.0,609.0,3682.0,0.0,41.0,150.0,0.0,485.0,32.0,1147.0,16.0,Other sectors,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.46,-1.0,-1.0,-1.0,-0.96,-1.0,-0.86,0.05,-0.89,-0.57,0.2,-1.0,-0.67,-0.88,0.93,-0.75,-1.0,-0.56,-1.0,-0.49,-1.0,-0.96,-1.0,-0.62,1.0,-1.0,-0.99,-0.97,-1.0,-0.8,-1.0,-0.87,-1.0
Climate_related_economic_losses,Slovakia,"Current prices, million euro",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,154.0,112.0,485.0,0.0,28.0,7.0,283.0,562.0,0.0,79.0,1.0,0.0,0.0,47,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,33.0,21.0,40.0,85.0,4.0,Other sectors,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.95,-0.77,-0.95,-1.0,-0.96,-1.0,-0.92,-0.3,-1.0,-0.86,-1.0,-1.0,-1.0,-0.98,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.99,-0.99,-1.0,-0.99,-1.0
Climate_related_economic_losses,Slovenia,"Current prices, million euro",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1957.0,22.0,419.0,405.0,108.0,85.0,0,99.0,317.0,26.0,151.0,100.0,0.0,221.0,94.0,81.0,74.0,371.0,143.0,0.0,274,0.0,583.0,0.0,1430.0,0.0,0.0,215.0,0.0,199.0,9.0,0.0,166.0,9935.0,Other sectors,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.45,-0.97,-0.64,-0.72,-0.98,-0.93,-1.0,-0.97,-0.34,-1.0,-0.98,-0.85,-1.0,-0.94,-0.88,-0.95,-0.87,-0.88,-0.9,-1.0,-0.91,-1.0,-0.31,-1.0,-0.1,-1.0,-1.0,-0.97,-1.0,-0.95,-1.0,-1.0,-0.98,0.26
Climate_related_economic_losses,Spain,"Current prices, million euro",3718.0,3874.0,3465.0,14823,3890.0,78.0,0.0,2487.0,1206.0,2597.0,6529.0,118.0,258.0,113.0,412.0,2291.0,1898,8.0,150.0,5814.0,1159.0,347.0,194.0,1160.0,20.0,2772.0,747.0,448.0,0.0,1785.0,1232,180.0,369.0,14.0,0.0,195.0,409.0,419.0,2178.0,4942.0,2421.0,2910.0,11204.0,7132.0,Other sectors,1.0,1.0,0.3,1.0,0.96,-0.9,-1.0,-0.38,1.0,0.99,0.84,-0.84,-0.78,-0.92,-0.93,1.0,1.0,-1.0,-0.69,-0.37,-0.85,-0.5,-0.99,-0.69,-0.98,0.57,0.32,-0.86,-1.0,0.13,-0.59,-0.87,-0.56,-1.0,-1.0,-0.89,-0.79,-0.94,-0.57,0.2,0.02,-0.85,0.27,-0.09
Climate_related_economic_losses,Sweden,"Current prices, million euro",0.0,0.0,0.0,0,0.0,10.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0,5.0,0.0,205.0,11.0,0.0,1.0,0.0,14.0,2675.0,1.0,0.0,0.0,0.0,0,0.0,0.0,110.0,197.0,17.0,0.0,0.0,93.0,149.0,67.0,46.0,0.0,92.0,Other sectors,-1.0,-1.0,-1.0,-1.0,-1.0,-0.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.98,-1.0,-1.0,-1.0,-1.0,-0.98,0.52,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.99,-0.88,-0.99,-1.0,-1.0,-0.98,-0.96,-0.97,-1.0,-1.0,-0.99
